RouteSurKey,Organization_Name,Time,Location,latitude,longitude,mean
1256,EPA,2/3/2017,GRAVES ES,41.782766,-87.805377,5.9
1257,EPA,2/3/2017,IEPA TRAILER,41.965193,-87.876265,8.4
1258,EPA,2/3/2017,LIBERTY SCHOOL,41.864426,-87.748902,7.741666667
1259,EPA,2/3/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,5
1260,EPA,2/3/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,5.98
1261,EPA,2/3/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,6.975
1262,EPA,2/3/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,7.745833333
1263,EPA,2/3/2017,VILLAGE GARAGE,41.670992,-87.732457,4.475
1264,EPA,2/3/2017,VILLAGE HALL,41.80118,-87.832349,6
1265,EPA,2/3/2017,WASHINGTON HS,41.687165,-87.539315,5.8
1266,EPA,2/4/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,5.225
1267,EPA,2/4/2017,LIBERTY SCHOOL,41.864426,-87.748902,8.683333333
1268,EPA,2/4/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,6.4875
1269,EPA,2/4/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,7.375
1270,EPA,2/4/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,6.55
1271,EPA,2/4/2017,VILLAGE GARAGE,41.670992,-87.732457,3.970833333
1272,EPA,2/5/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,13.475
1273,EPA,2/5/2017,LIBERTY SCHOOL,41.864426,-87.748902,13.57083333
1274,EPA,2/5/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,16.00416667
1275,EPA,2/5/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,16.3875
1276,EPA,2/5/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,12.775
1277,EPA,2/5/2017,VILLAGE GARAGE,41.670992,-87.732457,9.8
1278,EPA,2/6/2017,COM ED MAINTENANCE BLDG,41.7514,-87.713488,19.448
1279,EPA,2/6/2017,GRAVES ES,41.782766,-87.805377,22.2
1280,EPA,2/6/2017,IEPA TRAILER,41.965193,-87.876265,24.8
1281,EPA,2/6/2017,LIBERTY SCHOOL,41.864426,-87.748902,20.62
1282,EPA,2/6/2017,MAYFAIR PUMP STATION,41.965485,-87.749928,
1283,EPA,2/6/2017,NORTHBROOK WATER PLANT,42.139996,-87.799227,26.036
1284,EPA,2/6/2017,REGIONAL OFFICE BUILDING,42.060285,-87.863225,23.33333333
1285,EPA,2/6/2017,SPRINGFIELD PUMP STATION,41.912739,-87.722673,20.7125
1286,EPA,2/6/2017,VILLAGE GARAGE,41.670992,-87.732457,15.048
1287,EPA,2/6/2017,VILLAGE HALL,41.80118,-87.832349,23.65
